time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
2015,0.4,0,-0.30000000000000004,2.5,4.1,34.60000000000001,left,left_6
2115,0.4,0,0,-1.9,10.1,31.400000000000002,left,left_6
2215,0.30000000000000004,0,0.30000000000000004,-1.9,8.600000000000001,26.300000000000004,left,left_6
2315,0,0.1,-0.1,-0.5,7,24.3,left,left_6
2416,0,0,0.1,2.1,4,20.7,left,left_6
6,0,0.1,0,-2,-1.3,7.1000000000000005,left,left_7
106,0.1,0,-0.30000000000000004,0.5,5.500000000000001,11.1,left,left_7
206,0.4,0,-0.1,-4.1,3.7000000000000006,13.700000000000001,left,left_7
306,-0.1,0.1,-0.2,-4.7,7.6,18.200000000000003,left,left_7
407,0.4,0,-0.1,0.9000000000000001,7.6,25.900000000000002,left,left_7
507,0.30000000000000004,-0.30000000000000004,0.7000000000000001,3,6.1000000000000005,26.5,left,left_7
607,0.2,0,-0.30000000000000004,1.8000000000000003,10.700000000000001,31.9,left,left_7
707,0,-0.4,0.6000000000000001,-10.8,-0.6000000000000001,34.300000000000004,left,left_7
807,-0.1,-0.1,-0.4,-2.8,4.7,34.1,left,left_7
907,-0.30000000000000004,0,-0.4,-2.4000000000000004,9.899999999999999,43.300000000000004,left,left_7
1007,-0.7000000000000001,0.5,-0.4,6.600000000000001,14.800000000000002,42.400000000000006,left,left_7
1107,0.1,0.4,0.4,7.400000000000001,14.800000000000002,40.300000000000004,left,left_7
1207,0.2,-0.2,0,1.3,11.3,34.800000000000004,left,left_7
1308,-0.30000000000000004,0.1,0.1,1.4,9.2,32.300000000000004,left,left_7
1422,0.2,0,0,2.3,2,31,left,left_7
1524,0,-0.2,-0.4,8.700000000000001,9.700000000000001,31.2,left,left_7
1625,0.5,-0.2,0.30000000000000004,2.9,8,27.2,left,left_7
1741,0.4,-0.30000000000000004,-0.2,6.600000000000001,5.6,27.9,left,left_7
1842,0.7000000000000001,0,-0.6000000000000001,3.2,4.300000000000001,22.6,left,left_7
1957,-0.1,0,0,2.4000000000000004,9.2,24.200000000000003,left,left_7
2073,0,-0.1,0.2,-2.3,8.4,32.7,left,left_7
2189,0,-0.1,-0.2,2.3,12.5,44.10000000000001,left,left_7
2290,0.30000000000000004,-0.1,-0.2,1.9,17.300000000000004,49.699999999999996,left,left_7
2390,0.4,0.1,-0.30000000000000004,1.1,11.8,45.3,left,left_7
2490,0,-0.1,0.6000000000000001,-2.3,11.900000000000002,41.199999999999996,left,left_7
4,-0.1,-0.1,-0.2,-3.4,-0.6000000000000001,11.4,left,left_8
105,0.4,-0.1,0,-3.2,0.5,13.200000000000003,left,left_8
221,0.6000000000000001,0,0.1,-4.2,0.5,12.8,left,left_8
322,0.5,0,-0.2,-7.400000000000001,3,17.5,left,left_8
422,-0.1,0.2,0,-2.8,5.2,21,left,left_8
539,0,-0.1,-0.2,-1.2000000000000002,9.600000000000001,29.600000000000005,left,left_8
