time_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label,segment_id
1314,-0.2,0,-0.1,-16,10.700000000000001,53.300000000000004,left,left_4
1414,-0.2,0,0.1,6,25.4,60.7,left,left_4
1514,-0.1,0,0.1,0.4,7.500000000000001,67.4,left,left_4
1614,0,0,0,7.9,19.9,58.2,left,left_4
1714,0,0,-0.1,4.4,10.8,52.2,left,left_4
1814,0,0,-0.1,5.9,11.4,49.6,left,left_4
1914,0,0,0.1,-3.1,6.4,49.6,left,left_4
2015,0.1,0,-0.1,-10.4,-3.3000000000000007,51.6,left,left_4
2132,0.1,0,0.1,7.9,4.300000000000001,38,left,left_4
2247,0.1,0.1,-0.1,-2.4000000000000004,-0.9000000000000001,31.799999999999997,left,left_4
2347,0.1,0,0,-3.2,1.6,26.5,left,left_4
2447,0.1,0.1,0,-6.699999999999999,1.4,21.1,left,left_4
2547,0,0.1,0.1,-4.2,-2.8,22.700000000000003,left,left_4
2647,-0.1,0.1,0,-5.300000000000001,3.3000000000000007,28.600000000000005,left,left_4
2747,-0.1,0,-0.1,-5.2,12.5,41.1,left,left_4
2847,0,-0.1,0,-12.200000000000001,7.6,51.800000000000004,left,left_4
14,-0.1,0,0,-4.5,2.2,27.2,left,left_5
122,-0.1,0,0,-2.8,11.000000000000002,34.400000000000006,left,left_5
222,-0.1,0,0,-0.7,-0.4,43.00000000000001,left,left_5
323,0.1,0,0,1.3,0,37.2,left,left_5
423,0,0,0,-7,8,33.9,left,left_5
523,0,0,0,0,7.500000000000001,39.1,left,left_5
639,0.1,0,0.1,5,2.7,42.5,left,left_5
739,0.1,-0.1,-0.1,-3.2,1.9,50.60000000000001,left,left_5
839,0.1,-0.1,0,-4,3.8,58.3,left,left_5
939,0.1,0,0,-14.700000000000001,2.1,59.699999999999996,left,left_5
1039,0.1,0,0.1,-7,2.8,66.9,left,left_5
1139,0.1,0,0,-6.699999999999999,14.100000000000001,66.5,left,left_5
1255,0,0,0,-11.5,5.500000000000001,73.30000000000001,left,left_5
1355,0,0,0,-2.7,10.600000000000001,75.4,left,left_5
1455,0,-0.1,0,-5.8,13.5,77.4,left,left_5
1555,0,-0.1,0.1,-10.299999999999999,-8.8,89.4,left,left_5
1655,-0.2,-0.1,-0.1,-11.5,-11.700000000000001,80.30000000000001,left,left_5
